Type,Side1,Unum1,Time1,Mode1,X1,Y1,Side2,Unum2,Time2,X2,Y2,Success
Dribble,left,6,4977,play_on,-17.8027,-7.8012,left,6,4983,-16.5634,-4.7538,true
Pass,left,6,4985,play_on,-15.2555,-4.5973,left,11,4989,-8.1266,-8.1276,true
Dribble,left,11,4991,play_on,-7.2718,-7.7402,left,11,4996,-8.3673,-5.1696,true
Dribble,left,11,4996,play_on,-8.3673,-5.1696,left,11,5000,-7.3037,-3.9268,true
Pass,left,11,5001,play_on,-7.7527,-3.2424,left,3,5010,-17.8737,9.3706,true
Pass,left,3,5010,play_on,-17.8737,9.3706,left,6,5015,-23.0873,3.7941,true
MultiTouch,left,6,5017,play_on,-23.5815,4.4957,neutral,-1,5020,-22.6466,9.252,false
Pass,left,1,5129,free_kick_l,-43.3541,-9.2719,left,6,5132,-40.8079,-3.5324,true
OutOfBounds,left,6,5132,play_on,-40.8079,-3.5324,neutral,-1,5151,-29.1331,-34,false
Pass,right,11,5244,kick_in_r,-29.1331,-34,right,8,5248,-25.7545,-24.7231,true
Dribble,right,8,5248,play_on,-25.7545,-24.7231,right,8,5251,-26.6202,-25.1079,true
Dribble,right,8,5253,play_on,-26.6397,-24.4797,right,8,5256,-27.6746,-25.1368,true
Dribble,right,8,5256,play_on,-27.6746,-25.1368,right,8,5258,-28.6427,-26.6206,true
Pass,right,8,5259,play_on,-27.5171,-27.2064,right,5,5260,-28.3407,-28.7194,true
OutOfBounds,right,5,5261,play_on,-28.3893,-28.442,neutral,-1,5276,-47,-9.16,false
Pass,left,2,5306,goal_kick_l,-47,-9.16,left,3,5333,-42.4306,16.3535,true
Pass,left,3,5333,goal_kick_l,-42.4306,16.3535,left,5,5335,-40.7164,20.35,true
MultiTouch,left,5,5337,play_on,-42.0505,20.1519,neutral,-1,5338,-42.0967,20.1674,false
OutOfBounds,left,3,5341,play_on,-42.118,15.9541,neutral,-1,5351,-26.4845,34,false
Pass,right,6,5444,kick_in_r,-26.4845,34,right,9,5447,-29.1483,27.6086,true
Dribble,right,9,5448,play_on,-30.0448,28.0138,right,9,5451,-29.9554,26.9137,true
Pass,right,9,5451,play_on,-29.9554,26.9137,right,10,5453,-29.0175,26.8449,true
Pass,right,10,5454,play_on,-27.9607,26.1627,right,3,5464,-12.4562,10.296,true
Dribble,right,3,5466,play_on,-12.1482,11.0824,right,3,5468,-12.5719,11.8896,true
Dribble,right,3,5468,play_on,-12.5719,11.8896,right,3,5471,-15.0428,12.2556,true
Pass,right,3,5471,play_on,-15.0428,12.2556,right,2,5477,-19.5091,24.3662,true
Dribble,right,2,5477,play_on,-19.5091,24.3662,right,2,5480,-19.6493,24.0765,true
Dribble,right,2,5480,play_on,-19.6493,24.0765,right,2,5482,-21.4703,23.6415,true
Interception,right,2,5482,play_on,-21.4703,23.6415,left,10,5483,-20.9643,23.7421,true
Interception,left,10,5483,play_on,-20.9643,23.7421,right,2,5507,-3.2459,30.1983,true
Dribble,right,2,5508,play_on,-4.1351,29.6696,right,2,5512,-4.277,29.0231,true
Dribble,right,2,5512,play_on,-4.277,29.0231,right,2,5517,-8.2094,29.6472,true
Dribble,right,2,5517,play_on,-8.2094,29.6472,right,2,5520,-10.6583,29.7983,true
MultiTouch,right,2,5521,play_on,-10.5485,31.3742,neutral,-1,5522,-11.2848,31.0787,false
Dribble,right,9,5528,play_on,-19.8528,30.5129,right,9,5532,-21.7745,30.7012,true
Dribble,right,9,5532,play_on,-21.7745,30.7012,right,9,5536,-24.6307,30.6489,true
Dribble,right,9,5537,play_on,-25.2901,29.6934,right,9,5539,-25.3728,29.5945,true
OutOfBounds,right,9,5544,play_on,-25.5483,30.4009,neutral,-1,5571,-47,9.16,false
Pass,left,3,5614,goal_kick_l,-47,9.16,left,4,5635,-41.1839,-20.9322,false
OutOfBounds,left,4,5635,play_on,-41.1839,-20.9322,neutral,-1,5642,-32.9041,-34,false
Pass,right,11,5735,kick_in_r,-32.9041,-34,right,8,5739,-29.8612,-24.7149,true
Pass,right,8,5740,play_on,-29.5811,-25.159,right,5,5749,-33.358,-28.2834,true
MultiTouch,right,5,5749,play_on,-33.358,-28.2834,neutral,-1,5750,-33.5432,-29.3165,false
OutOfBounds,right,5,5750,play_on,-33.5432,-29.3165,neutral,-1,5759,-47,-9.16,false
Pass,left,2,5781,goal_kick_l,-47,-9.16,left,3,5811,-43.7293,14.9197,true
Interception,left,3,5811,goal_kick_l,-43.7293,14.9197,right,9,5814,-41.8735,20.4783,true
OutOfBounds,right,9,5814,play_on,-41.8735,20.4783,neutral,-1,5820,-48.609,34,false
MultiTouch,left,5,5848,kick_in_l,-48.609,34,neutral,-1,5852,-41.0602,29.9864,false
MultiTouch,left,5,5866,play_on,-46.2649,33.2564,neutral,-1,5867,-46.1672,32.4226,false
Pass,left,1,5975,free_kick_l,-43.379,-9.3367,left,7,5981,-37.6503,-11.3685,true
Interception,left,7,5984,play_on,-37.773,-11.8598,right,5,5992,-20.1101,-19.9578,true
Dribble,right,5,5992,play_on,-20.1101,-19.9578,right,5,5997,-22.3527,-21.8654,true
